Archivo;01. Frequency Test (Monobit);02. Frequency Test within a Block;03. Run Test;04. Longest Run of Ones in a Block;05. Binary Matrix Rank Test;06. Discrete Fourier Transform (Spectral) Test;07. Non-Overlapping Template Matching Test;08. Overlapping Template Matching Test;09. Maurer\s Universal Statistical test;10. Linear Complexity Test;11. Serial test;12. Approximate Entropy Test;13. Cummulative Sums (Forward) Test;14. Cummulative Sums (Reverse) Test;15. Random Excursions Test;16. Random Excursions Variant Test
DATA_20190307-0003_4_10Millones maximos_t_0.05_mediana_41571.bin;(0.015607178393287189, True);(0.0, False);(0.0, False);(1.524920516114205e-32, False);(0.13807136709743503, True);(2.1414596154483783e-11, False);(0.0, False);(2.0475420714568298e-08, False);(-1.0, False);(0.3182123494602002, True);((0.0, False), (5.4812326341488496e-247, False));(2.0772009392758906e-252, False);(2.4574449480311347e-48, False);(5.796881182425276e-65, False);[('-4', -4, 30.571428571428573, 1.138085401980086e-05, False), ('-3', -3, 16.599999999999998, 0.005324337409375595, False), ('-2', -2, 9.333333333333332, 0.09648475947119867, True), ('-1', -1, 3.0, 0.6999858358786276, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 9.333333333333332, 0.09648475947119867, True), ('+3', 3, 24.51999999999999, 0.00017243812359741325, False), ('+4', 4, 46.33819241982507, 7.750306806822414e-09, False)];[('-9.0', -9.0, 1, 0.9034789137192296, True), ('-8.0', -8.0, 1, 0.897278961260083, True), ('-7.0', -7.0, 1, 0.8897069355331012, True), ('-6.0', -6.0, 1, 0.8801684549067255, True), ('-5.0', -5.0, 1, 0.8676323347781927, True), ('-4.0', -4.0, 1, 0.8501067391385259, True), ('-3.0', -3.0, 1, 0.8230632737581215, True), ('-2.0', -2.0, 2, 1.0, True), ('-1.0', -1.0, 2, 1.0, True), ('+1.0', 1.0, 2, 1.0, True), ('+2.0', 2.0, 2, 1.0, True), ('+3.0', 3.0, 3, 0.8230632737581215, True), ('+4.0', 4.0, 4, 0.7054569861112734, True), ('+5.0', 5.0, 3, 0.8676323347781927, True), ('+6.0', 6.0, 4, 0.763024600552995, True), ('+7.0', 7.0, 6, 0.5790997419539188, True), ('+8.0', 8.0, 5, 0.6985353583033387, True), ('+9.0', 9.0, 3, 0.9034789137192296, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.01_mediana_48793.bin;(0.10411287677272126, True);(5.059970564157972e-201, False);(0.0, False);(1.0537399664131382e-89, False);(0.930460199111698, True);(0.0014457516282970102, False);(0.0, False);(1.2775123123597773e-23, False);(-1.0, False);(0.7142707327934057, True);((0.0, False), (0.0, False));(0.0, False);(4.0039167074982575e-20, False);(3.3632313346087544e-27, False);[('-4', -4, 1.9833402748854643, 0.8514453944963547, True), ('-3', -3, 11.659999999999998, 0.03975555483344686, True), ('-2', -2, 13.333333333333334, 0.020447481945815252, True), ('-1', -1, 2.5, 0.7764950711233227, True), ('+1', 1, 2.5, 0.7764950711233227, True), ('+2', 2, 8.481481481481481, 0.1316209074233943, True), ('+3', 3, 14.251999999999995, 0.014085483391403227, True), ('+4', 4, 16.857142857142858, 0.004778851602361653, False)];[('-9.0', -9.0, 11, 0.5483429354628135, True), ('-8.0', -8.0, 7, 0.7841912294016191, True), ('-7.0', -7.0, 3, 0.9218861842322926, True), ('-6.0', -6.0, 2, 0.8311704095417624, True), ('-5.0', -5.0, 4, 1.0, True), ('-4.0', -4.0, 5, 0.8936946693232327, True), ('-3.0', -3.0, 3, 0.8743670611628919, True), ('-2.0', -2.0, 2, 0.6830913983096087, True), ('-1.0', -1.0, 4, 1.0, True), ('+1.0', 1.0, 2, 0.4795001221869535, True), ('+2.0', 2.0, 4, 1.0, True), ('+3.0', 3.0, 4, 1.0, True), ('+4.0', 4.0, 2, 0.7892680261342813, True), ('+5.0', 5.0, 2, 0.813663715766792, True), ('+6.0', 6.0, 2, 0.8311704095417624, True), ('+7.0', 7.0, 2, 0.84451926747294, True), ('+8.0', 8.0, 6, 0.8551321405847059, True), ('+9.0', 9.0, 7, 0.7969874262088125, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.05_mediana_41572.bin;(2.1140554004789511e-07, False);(2.8683662981179927e-168, False);(0.0, False);(6.629538930311146e-26, False);(0.23218649411584366, True);(0.8819292374488423, True);(4.87077792552865e-305, False);(5.495424991915663e-15, False);(-1.0, False);(0.37778507452389803, True);((0.0, False), (2.719073928880211e-85, False));(7.023334085379739e-131, False);(3.952325512457813e-16, False);(1.208109609637943e-41, False);[('-4', -4, 26.387755102040817, 7.503740050858842e-05, False), ('-3', -3, 12.999999999999998, 0.02337876810356385, True), ('-2', -2, 5.888888888888888, 0.3171811183579036, True), ('-1', -1, 3.0, 0.6999858358786276, True), ('+1', 1, 2.3333333333333335, 0.8013589222076911, True), ('+2', 2, 5.888888888888888, 0.3171811183579036, True), ('+3', 3, 15.879999999999999, 0.007195162664131782, False), ('+4', 4, 30.368318756073858, 1.2479928626401646e-05, False)];[('-9.0', -9.0, 8, 0.6205480473200617, True), ('-8.0', -8.0, 6, 0.7518296340458492, True), ('-7.0', -7.0, 6, 0.7340951823194758, True), ('-6.0', -6.0, 9, 0.46018093544712035, True), ('-5.0', -5.0, 7, 0.58621368107314, True), ('-4.0', -4.0, 3, 1.0, True), ('-3.0', -3.0, 2, 0.8551321405847059, True), ('-2.0', -2.0, 2, 0.813663715766792, True), ('-1.0', -1.0, 2, 0.6830913983096087, True), ('+1.0', 1.0, 2, 0.6830913983096087, True), ('+2.0', 2.0, 2, 0.813663715766792, True), ('+3.0', 3.0, 3, 1.0, True), ('+4.0', 4.0, 4, 0.8773705560641434, True), ('+5.0', 5.0, 6, 0.6830913983096087, True), ('+6.0', 6.0, 10, 0.38888541180776515, True), ('+7.0', 7.0, 18, 0.0894293590289936, True), ('+8.0', 8.0, 17, 0.140016503197169, True), ('+9.0', 9.0, 8, 0.6205480473200617, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.06_media_40575.bin;(0.7620185298394355, True);(4.5573624483627043e-153, False);(1.4507350218884279e-148, False);(5.980253982701894e-29, False);(0.8733776255318549, True);(0.4695475638213902, True);(9.203589535300907e-248, False);(5.305914453201329e-15, False);(-1.0, False);(0.22153162272537608, True);((7.9854126e-317, False), (2.7635870612767987e-50, False));(3.031841945223445e-98, False);(4.528790063325235e-31, False);(1.2830765433830992e-32, False);[('-4', -4, 2.378365075158078, 0.7946915699246715, True), ('-3', -3, 4.622690909090908, 0.4636374773134774, True), ('-2', -2, 10.979797979797981, 0.051782004542281934, True), ('-1', -1, 3.1818181818181817, 0.6719780177191316, True), ('+1', 1, 1.9090909090909092, 0.8615756509441765, True), ('+2', 2, 3.0606060606060606, 0.6906425172644332, True), ('+3', 3, 4.621818181818182, 0.46375182788096425, True), ('+4', 4, 8.0744765438643, 0.15217856224636161, True)];[('-9.0', -9.0, 13, 0.9176315934670087, True), ('-8.0', -8.0, 11, 1.0, True), ('-7.0', -7.0, 9, 0.9058596859817147, True), ('-6.0', -6.0, 7, 0.7970786210521441, True), ('-5.0', -5.0, 10, 0.9433445071736766, True), ('-4.0', -4.0, 13, 0.8719637673702084, True), ('-3.0', -3.0, 9, 0.8487665010168555, True), ('-2.0', -2.0, 8, 0.7119231506921901, True), ('-1.0', -1.0, 12, 0.8311704095417624, True), ('+1.0', 1.0, 5, 0.20082512269514552, True), ('+2.0', 2.0, 2, 0.26793808403417974, True), ('+3.0', 3.0, 3, 0.44560053289767665, True), ('+4.0', 4.0, 4, 0.5727023597783103, True), ('+5.0', 5.0, 3, 0.5696715815879664, True), ('+6.0', 6.0, 2, 0.5628983094805174, True), ('+7.0', 7.0, 2, 0.5946005327233163, True), ('+8.0', 8.0, 2, 0.620294015349161, True), ('+9.0', 9.0, 2, 0.6416601266046645, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.06_media_40574.bin;(0.0, False);(0.0, False);(0.0, False);(7.824655356150078e-301, False);(0.6197090884116231, True);(1.2083825825571587e-14, False);(0.00010293405670032101, False);(4.979228443886842e-41, False);(-1.0, False);(0.0788244400388086, True);((0.0, False), (0.0, False));(0.0, False);(1.0, True);(1.0, True);[('-4', -4, 0.14285714285714285, 0.9996100613790039, True), ('-3', -3, 0.2, 0.9991138612111875, True), ('-2', -2, 0.3333333333333333, 0.9969687632568645, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 15.0, 0.010362337915786429, True), ('+3', 3, 35.0, 1.5046506621757205e-06, False), ('+4', 4, 72.14285714285714, 3.6679032349766e-14, False)];[('+1.0', 1.0, 1, 1.0, True), ('+2.0', 2.0, 1, 1.0, True), ('+3.0', 3.0, 1, 1.0, True), ('+4.0', 4.0, 2, 0.7892680261342813, True), ('+5.0', 5.0, 2, 0.813663715766792, True), ('+6.0', 6.0, 2, 0.8311704095417624, True), ('+7.0', 7.0, 3, 0.6948866023724733, True), ('+8.0', 8.0, 2, 0.8551321405847059, True), ('+9.0', 9.0, 2, 0.8638317428547264, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.05_media_41571.bin;(0.0, False);(0.0, False);(0.0, False);(2.383015672359329e-288, False);(0.5739147740772618, True);(2.879709883507281e-17, False);(1.181307349344469e-16, False);(4.098614359184448e-42, False);(-1.0, False);(0.17468677934970236, True);((0.0, False), (0.0, False));(0.0, False);(1.0, True);(1.0, True);[('-4', -4, 0.14285714285714285, 0.9996100613790039, True), ('-3', -3, 0.2, 0.9991138612111875, True), ('-2', -2, 0.3333333333333333, 0.9969687632568645, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 15.0, 0.010362337915786429, True), ('+3', 3, 35.0, 1.5046506621757205e-06, False), ('+4', 4, 72.14285714285714, 3.6679032349766e-14, False)];[('+1.0', 1.0, 1, 1.0, True), ('+2.0', 2.0, 1, 1.0, True), ('+3.0', 3.0, 1, 1.0, True), ('+4.0', 4.0, 2, 0.7892680261342813, True), ('+5.0', 5.0, 2, 0.813663715766792, True), ('+6.0', 6.0, 2, 0.8311704095417624, True), ('+7.0', 7.0, 3, 0.6948866023724733, True), ('+8.0', 8.0, 2, 0.8551321405847059, True), ('+9.0', 9.0, 2, 0.8638317428547264, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.02_media_44828.bin;(5.048723642956913e-23, False);(9.854301030625808e-206, False);(0.0, False);(2.1019370757672796e-111, False);(0.30513733207803445, True);(0.036311992025853716, True);(1.7490453581571513e-273, False);(5.060401539787326e-29, False);(-1.0, False);(0.608693662829692, True);((0.0, False), (2.6061555164668322e-143, False));(0.0, False);(2.1095802673679238e-72, False);(2.5243618214784198e-23, False);[('-4', -4, 0.14285714285714285, 0.9996100613790039, True), ('-3', -3, 0.2, 0.9991138612111875, True), ('-2', -2, 0.3333333333333333, 0.9969687632568645, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 15.0, 0.010362337915786429, True), ('+3', 3, 35.0, 1.5046506621757205e-06, False), ('+4', 4, 63.0, 2.9111549198896303e-12, False)];[('+1.0', 1.0, 1, 1.0, True), ('+2.0', 2.0, 1, 1.0, True), ('+3.0', 3.0, 1, 1.0, True), ('+4.0', 4.0, 1, 1.0, True), ('+5.0', 5.0, 1, 1.0, True), ('+6.0', 6.0, 1, 1.0, True), ('+7.0', 7.0, 1, 1.0, True), ('+8.0', 8.0, 2, 0.8551321405847059, True), ('+9.0', 9.0, 2, 0.8638317428547264, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.01_mediana_48792.bin;(0.9206638908085872, True);(7.848703679051376e-225, False);(0.0, False);(4.8364324866114345e-98, False);(0.1521732375302771, True);(0.00046874461156766, False);(0.0, False);(4.9297228585648546e-21, False);(-1.0, False);(0.877006872023904, True);((0.0, False), (0.0, False));(0.0, False);(6.9212489098573e-22, False);(2.6352673805509716e-22, False);[('-4', -4, 46.33819241982507, 7.750306806822414e-09, False), ('-3', -3, 16.599999999999998, 0.005324337409375595, False), ('-2', -2, 6.666666666666667, 0.24663415218605245, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 12.888888888888888, 0.024442548519677403, True), ('+3', 3, 4.8208, 0.4381393147182503, True), ('+4', 4, 5.395251978342357, 0.3695686228024224, True)];[('-9.0', -9.0, 5, 0.7160047955043312, True), ('-8.0', -8.0, 5, 0.6985353583033387, True), ('-7.0', -7.0, 5, 0.6773916019262776, True), ('-6.0', -6.0, 4, 0.763024600552995, True), ('-5.0', -5.0, 5, 0.6170750774519738, True), ('-4.0', -4.0, 4, 0.7054569861112734, True), ('-3.0', -3.0, 1, 0.8230632737581215, True), ('-2.0', -2.0, 1, 0.7728299926844475, True), ('-1.0', -1.0, 1, 0.6170750774519739, True), ('+1.0', 1.0, 2, 1.0, True), ('+2.0', 2.0, 3, 0.7728299926844475, True), ('+3.0', 3.0, 5, 0.5023349543605022, True), ('+4.0', 4.0, 7, 0.3447042220069577, True), ('+5.0', 5.0, 5, 0.6170750774519738, True), ('+6.0', 6.0, 3, 0.8801684549067255, True), ('+7.0', 7.0, 4, 0.7815112949987133, True), ('+8.0', 8.0, 3, 0.897278961260083, True), ('+9.0', 9.0, 3, 0.9034789137192296, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.02_media_44827.bin;(0.0, False);(0.0, False);(0.0, False);(0.0, False);(0.6706984439051036, True);(2.720743184939591e-19, False);(4.05624301272358e-40, False);(1.0290523234786708e-54, False);(-1.0, False);(0.35709559449730355, True);((0.0, False), (0.0, False));(0.0, False);(1.0, True);(1.0, True);[('-4', -4, 0.14285714285714285, 0.9996100613790039, True), ('-3', -3, 0.2, 0.9991138612111875, True), ('-2', -2, 0.3333333333333333, 0.9969687632568645, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 15.0, 0.010362337915786429, True), ('+3', 3, 35.0, 1.5046506621757205e-06, False), ('+4', 4, 72.14285714285714, 3.6679032349766e-14, False)];[('+1.0', 1.0, 1, 1.0, True), ('+2.0', 2.0, 1, 1.0, True), ('+3.0', 3.0, 1, 1.0, True), ('+4.0', 4.0, 2, 0.7892680261342813, True), ('+5.0', 5.0, 2, 0.813663715766792, True), ('+6.0', 6.0, 2, 0.8311704095417624, True), ('+7.0', 7.0, 3, 0.6948866023724733, True), ('+8.0', 8.0, 2, 0.8551321405847059, True), ('+9.0', 9.0, 2, 0.8638317428547264, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.02_mediana_44827.bin;(0.5237191614538448, True);(1.188775222864685e-306, False);(0.0, False);(9.38482004014035e-65, False);(0.16264109426331985, True);(0.26300428433167833, True);(0.0, False);(3.521118973841235e-14, False);(-1.0, False);(0.19768558398989314, True);((0.0, False), (0.0, False));(0.0, False);(2.139077847986503e-35, False);(6.274180788984483e-39, False);[('-4', -4, 26.31112036651395, 7.765368177189656e-05, False), ('-3', -3, 18.827199999999998, 0.0020698948710056453, False), ('-2', -2, 14.300411522633745, 0.013809664275726462, True), ('-1', -1, 19.0, 0.0019221368209430402, False), ('+1', 1, 2.3333333333333335, 0.8013589222076911, True), ('+2', 2, 5.888888888888888, 0.3171811183579036, True), ('+3', 3, 12.999999999999998, 0.02337876810356385, True), ('+4', 4, 26.387755102040817, 7.503740050858842e-05, False)];[('-9.0', -9.0, 5, 0.8430219763697249, True), ('-8.0', -8.0, 7, 0.6732899796599957, True), ('-7.0', -7.0, 6, 0.7340951823194758, True), ('-6.0', -6.0, 4, 0.9020346492544503, True), ('-5.0', -5.0, 6, 0.6830913983096087, True), ('-4.0', -4.0, 10, 0.28008721081149757, True), ('-3.0', -3.0, 15, 0.028459736916310565, True), ('-2.0', -2.0, 14, 0.009521891184098845, False), ('-1.0', -1.0, 6, 0.22067136191984693, True), ('+1.0', 1.0, 2, 0.6830913983096087, True), ('+2.0', 2.0, 2, 0.813663715766792, True), ('+3.0', 3.0, 2, 0.8551321405847059, True), ('+4.0', 4.0, 3, 1.0, True), ('+5.0', 5.0, 3, 1.0, True), ('+6.0', 6.0, 4, 0.9020346492544503, True), ('+7.0', 7.0, 6, 0.7340951823194758, True), ('+8.0', 8.0, 5, 0.8330288937195214, True), ('+9.0', 9.0, 4, 0.9211265554360596, True)]
DATA_20190307-0003_4_10Millones maximos_t_0.1_mediana_37196.bin;(3.0362880083202997e-30, False);(0.0, False);(0.0, False);(4.751395335030311e-62, False);(0.8149074077589058, True);(2.857291449567662e-16, False);(2.62543942552525e-185, False);(0.001791469831644878, False);(-1.0, False);(0.5397739397526093, True);((0.0, False), (3.672179590532115e-44, False));(1.1883636477789108e-125, False);(3.047433581308086e-42, False);(3.289821878349888e-138, False);[('-4', -4, 30.571428571428573, 1.138085401980086e-05, False), ('-3', -3, 16.599999999999998, 0.005324337409375595, False), ('-2', -2, 6.666666666666667, 0.24663415218605245, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 15.0, 0.010362337915786429, True), ('+2', 2, 4.987654320987654, 0.4173887317781294, True), ('+3', 3, 4.8208, 0.4381393147182503, True), ('+4', 4, 5.395251978342357, 0.3695686228024224, True)];[('-9.0', -9.0, 2, 1.0, True), ('-8.0', -8.0, 1, 0.897278961260083, True), ('-7.0', -7.0, 1, 0.8897069355331012, True), ('-6.0', -6.0, 1, 0.8801684549067255, True), ('-5.0', -5.0, 1, 0.8676323347781927, True), ('-4.0', -4.0, 1, 0.8501067391385259, True), ('-3.0', -3.0, 1, 0.8230632737581215, True), ('-2.0', -2.0, 1, 0.7728299926844475, True), ('-1.0', -1.0, 1, 0.6170750774519739, True), ('+1.0', 1.0, 4, 0.31731050786291415, True), ('+2.0', 2.0, 9, 0.043308142810791955, True), ('+3.0', 3.0, 10, 0.07363827012030266, True), ('+4.0', 4.0, 8, 0.25683925795785656, True), ('+5.0', 5.0, 7, 0.40465676192728617, True), ('+6.0', 6.0, 5, 0.6510766340778344, True), ('+7.0', 7.0, 3, 0.8897069355331012, True), ('+8.0', 8.0, 2, 1.0, True), ('+9.0', 9.0, 2, 1.0, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.1_media_37197.bin;(9.449747377504194e-17, False);(1.055836152946051e-130, False);(0.0, False);(0.018394839064960894, True);(0.8949907516772425, True);(0.008360569962270564, False);(1.0343060171501217e-254, False);(0.25348860838433446, True);(-1.0, False);(0.7317028707658291, True);((1.0217505822255e-311, False), (3.4937450063037586e-19, False));(3.072827182099352e-57, False);(4.72487368875203e-17, False);(3.979357696512818e-59, False);[('-4', -4, 1.9833402748854643, 0.8514453944963547, True), ('-3', -3, 1.8103999999999998, 0.8747081612331625, True), ('-2', -2, 6.111111111111111, 0.29555700404248325, True), ('-1', -1, 2.0, 0.8491450360846096, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 8.481481481481481, 0.1316209074233943, True), ('+3', 3, 14.251999999999995, 0.014085483391403227, True), ('+4', 4, 19.46938775510204, 0.0015710767694353629, False)];[('-9.0', -9.0, 1, 0.7969874262088125, True), ('-8.0', -8.0, 1, 0.7841912294016191, True), ('-7.0', -7.0, 1, 0.7686247922021466, True), ('-6.0', -6.0, 3, 0.9151060344205056, True), ('-5.0', -5.0, 4, 1.0, True), ('-4.0', -4.0, 5, 0.8936946693232327, True), ('-3.0', -3.0, 6, 0.7518296340458492, True), ('-2.0', -2.0, 3, 0.8382564863858263, True), ('-1.0', -1.0, 2, 0.4795001221869535, True), ('+1.0', 1.0, 4, 1.0, True), ('+2.0', 2.0, 4, 1.0, True), ('+3.0', 3.0, 4, 1.0, True), ('+4.0', 4.0, 3, 0.8936946693232327, True), ('+5.0', 5.0, 5, 0.9061856157549283, True), ('+6.0', 6.0, 6, 0.8311704095417624, True), ('+7.0', 7.0, 5, 0.9218861842322926, True), ('+8.0', 8.0, 7, 0.7841912294016191, True), ('+9.0', 9.0, 7, 0.7969874262088125, True)]
DATA_20190307-0003_4_10Millones maximos_V_0.01_media_48793.bin;(2.725016874369523e-66, False);(1.8544057702653995e-271, False);(0.0, False);(1.4394485480284538e-182, False);(0.9686929171259011, True);(1.3629824525906204e-08, False);(0.0, False);(3.941295530731404e-34, False);(-1.0, False);(0.32083725621586157, True);((0.0, False), (0.0, False));(0.0, False);(2.893748498321558e-121, False);(1.3625084371847226e-66, False);[('-4', -4, 0.14285714285714285, 0.9996100613790039, True), ('-3', -3, 0.2, 0.9991138612111875, True), ('-2', -2, 0.3333333333333333, 0.9969687632568645, True), ('-1', -1, 1.0, 0.9625657732472964, True), ('+1', 1, 3.0, 0.6999858358786276, True), ('+2', 2, 15.0, 0.010362337915786429, True), ('+3', 3, 35.0, 1.5046506621757205e-06, False), ('+4', 4, 63.0, 2.9111549198896303e-12, False)];[('+1.0', 1.0, 1, 1.0, True), ('+2.0', 2.0, 1, 1.0, True), ('+3.0', 3.0, 1, 1.0, True), ('+4.0', 4.0, 1, 1.0, True), ('+5.0', 5.0, 1, 1.0, True), ('+6.0', 6.0, 1, 1.0, True), ('+7.0', 7.0, 1, 1.0, True), ('+8.0', 8.0, 2, 0.8551321405847059, True), ('+9.0', 9.0, 2, 0.8638317428547264, True)]
